ADRAR,451,87745,194.6
CHLEF,4342,1265090,291.4
LAGHOUAT,2276,687500,302.1
O.E.BOUAGHI,283,73237,258.8
BATNA,1390,421420,303.2
BEJAIA,295,57780,195.9
BISKRA,220,47400,215.5
BECHAR,111,19940,180.5
BLIDA,628,301080,479.6
BOURA,6215,031714,326.9
TAMANRASSET,27,4689,173.7
TEBESSA,2540,920000,362.2
TLEMCEN,5283,1543400,292.1
TIARET,5364,1469312,273.9
TIZI-OUZOU,747,219475,293.9
ALGER,1069,432630,404.9
DJELFA,3000,721300,240.4
JIJEL,520,106430,204.7
SETIF,1964,541543,275.7
SAIDA,3206,893066,278.6
SKIKDA,5959,1581175,265.3
S.B.ABBES,2404,538170,223.9
ANNABA,95,38600,406.3
GUELMA,1377,434311,315.4
CONSTANTINE,167,32800,196.4
MEDEA,2189,550825,251.6
MOSTAGANEM,14289,4471604,312.9
M'SILA,480,134400,280.0
MASCARA,12437,3552500,285.6
ÔUARGLA,1595,485234,304.2
ORAN,122,34418,282.7
EL-BAYADH,936,283667,303.1
ILLIZI,1,75,150.0
B.B.ARRERIDJ,73,14650,200.7
BOUMERDES,2928,904420,308.9
EL.TARF,580,200300,345.3
TINDOUF,4,590,147.5
TISSEMSILT,148,22070,149.1
EL.OUED,35000,11530000,329.4
KHENCHELA,93,16170,173.9
SOUK.AHRAS,476,105900,222.5
TIPAZA,1960,648650,330.9
MILA,1687,675210,400.2
AIN.DEFLA,20000,6879365,344.0
NAAMA,389,78205,201.0
A.TEMOUCHENT,242,73190,302.4
GHARDAIA,164,44100,268.9
RELIZANE,3100,888675,286.7
