ADRAR,79,8589,108.3
CHLEF,19,9315,490.3
LAGHOUAT,763,243258,318.8
O.E.BOUAGHI,0,0,0.0
BATNA,88,16160,183.6
BEJAIA,26,3485,132.8
BISKRA,879,388745,442.3
BECHAR,75,10917,145.0
BLIDA,127,47420,374.9
BOUIRA,15,1100,73.3
TAMANRASSET,45,6179,137.6
TEBESSA,10,800,80.0
TLEMCEN,85,12000,141.2
TIARET,40,12800,320.0
TIZI-OUZOU,3,894,256.9
ALGER,520,152290,293.1
DJELFA,57,5130,90.0
JIJEL,116,40515,348.8
SETIF,7,1005,143.6
SAIDA,51,16430,322.2
SKIKDA,101,20790,205.8
S.B.ABBES,68,17680,260.0
ANNABA,146,19663,134.7
GUELMA,0,0,0.0
CONSTANTINE,9,800,88.9
MEDEA,67,9170,136.9
MOSTAGANEM,749,329165,439.6
M'SILA,66,21200,321.2
MASCARA,105,22300,212.4
OUARGLA,110,31316,285.6
ORAN,22,4612,207.6
EL-BAYADH,35,10795,310.6
ILLIZI,0,13,110.0
B.B.ARRERIDJ,0,0,0.0
BOUMERDES,367,82764,225.8
EL-TARF,43,6000,139.5
TINDOUF,0,400,2500.0
TISSEMSILT,0,0,0.0
EL-OUED,151,38435,254.5
KHENCHELA,10,4000,400.0
SOUK-AHRAS,13,332,25.5
TIPAZA,459,143708,313.1
MILA,17,7244,424.1
AIN-DEFLA,56,13851,247.3
NAAMA,71,7612,107.2
A.TEMOUCHENT,120,28755,240.3
GHARDAIA,160,33590,209.9
RELIZANE,78,10230,131.2
