ADRAR,127,33850,266.4
CHLEF,606,461265,761.3
LAGHOUAT,350,105000,300.0
O.E.BOUAGHI,180,37880,210.2
BATNA,386,71796,185.8
BEJAIA,245,61990,252.8
BISKRA,2117,3155060,1490.3
BECHAR,217,33000,152.2
BLIDA,167,85656,513.1
BOURA,161,38984,242.5
TAMANRASSET,145,19342,133.4
TEBESSA,151,21750,144.3
TLEMCEN,980,657791,671.2
TIARET,351,95980,273.8
TIZI-OUZOU,157,41605,265.3
ALGER,1216,658645,541.6
DJELFA,210,29650,141.2
JIJEL,578,357628,619.0
SETIF,635,217985,343.2
SAIDA,320,90920,284.1
SKIKDA,539,142800,264.9
S.B.ABBES,230,120750,525.0
ANNABA,0,0,0.0
GUELMA,209,67280,322.7
CONSTANTINE,18,2890,165.1
MEDEA,538,106200,197.6
MOSTAGANEM,1669,962415,576.7
M'SILA,275,130500,474.5
MASCARA,251,57600,229.5
ÔUARGLA,184,29801,162.2
ORAN,216,73524,341.1
EL-BAYADH,115,35530,310.3
ILLIZI,12,1352,110.1
B.B.ARRERIDJ,148,19320,130.5
BOUMERDES,617,383750,622.0
EL.TARF,0,325,1250.0
TINDOUF,8,5164,648.7
TISSEMSILT,34,3135,92.2
EL.OUED,3070,70000,706.8
KHENCHELA,201,76462,380.4
SOUK.AHRAS,2137,14911,7.0
TIPAZA,1889,1083842,573.8
MILA,243,108763,447.0
AIN.DEFLA,555,471750,850.0
NAAMA,65,12589,193.7
A.TEMOUCHENT,1082,388078,358.7
GHARDAIA,20,3050,150.6
RELIZANE,355,115300,324.8
