ADRAR,18,3593,202.4
CHLEF,104,20209,194.3
LAGHOUAT,322,97090,301.5
O.E.BOUAGHI,193,28850,149.7
BATNA,276,46741,169.2
BEJAIA,180,18708,103.9
BISKRA,796,625540,785.9
BECHAR,85,7225,84.8
BLIDA,218,109996,504.8
BOURA,92,4426,48.4
TAMANRASSET,40,3924,98.4
TEBESSA,70,8610,123.0
TLEMCEN,780,193174,247.7
TIARET,368,81100,220.3
TIZI-OUZOU,98,13589,138.0
ALGER,512,145340,283.7
DJELFA,112,12590,112.4
JIJEL,295,190774,646.5
SETIF,419,239192,570.3
SAIDA,328,78650,240.2
SKIKDA,505,79473,157.4
S.B.ABBES,194,42874,221.0
ANNABA,429,60095,140.1
GUELMA,49,6330,129.2
CONSTANTINE,57,2314,41.0
MEDEA,305,16960,55.6
MOSTAGANEM,1310,528580,403.5
M'SILA,120,28000,233.3
MASCARA,615,122100,198.5
ÔUARGLA,5,2960,592.0
ORAN,98,12234,124.7
EL-BAYADH,25,2555,102.2
ILLIZI,11,1176,111.6
B.B.ARRERIDJ,57,2858,50.1
BOUMERDES,413,139510,337.8
EL.TARF,170,22480,132.2
TINDOUF,1,720,720.0
TISSEMSILT,8,420,52.5
EL.OUED,125,40000,320.0
KHENCHELA,126,24494,194.4
SOUK.AHRAS,539,5635,10.5
TIPAZA,554,189221,341.5
MILA,153,48971,319.2
AIN.DEFLA,137,20737,151.9
NAAMA,137,12234,89.3
A.TEMOUCHENT,284,63514,223.7
GHARDAIA,100,17900,179.0
RELIZANE,123,12630,102.7
