ADRAR,455,89635,197
CHLEF,4045,1133195,280.1
LAGHOUAT,2476,700560,282.9
O.E.BOUAGHI,200,52300,261.5
BATNA,1171,338420,289.1
BEJAIA,123,23714,192.2
BISKRA,320,52950,165.5
BECHAR,170,37000,217.6
BLIDA,674,249180,369.7
BOUIRA,6260,2032205,324.7
TAMANRASSET,52,7605,147.7
TEBESSA,2974,1309500,440.3
TLEMCEN,5273,1620500,307.3
TIARET,5257,1611891,306.6
TIZI-OUZOU,804,221880,276.1
ALGER,1164,470300,404.2
DJELFA,3782,1265540,334.6
JIJEL,514,139395,271.5
SETIF,1754,500473,285.3
SAIDA,3017,831040,275.5
SKIKDA,5580,1605865,287.8
S.B.ABBES,2100,525200,250.1
ANNABA,286,151550,529.9
GUELMA,368,112090,305.0
CONSTANTINE,122,32820,270.1
MEDEA,1959,531530,271.4
MOSTAGANEM,15864,5432475,342.4
M'SILA,635,187750,295.7
MASCARA,14045,3660150,260.6
OUARGLA,2845,941712,331.0
ORAN,165,52220,316.5
EL-BAYADH,1598,502545,314.5
ILLIZI,3,399,150.0
B.B.ARRERIDJ,65,12460,191.7
BOUMERDES,2993,909630,303.9
EL-TARF,535,205625,384.3
TINDOUF,3,515,171.7
TISSEMSILT,202,50853,252.4
EL-OUED,36200,11360000,313.8
KHENCHELA,101,17885,177.1
SOUK-AHRAS,100,31000,310.0
TIPAZA,2048,651560,318.2
MILA,1336,542280,405.9
AIN-DEFLA,15800,5128701,324.6
NAAMA,410,99860,243.6
A.TEMOUCHENT,307,86590,282.1
GHARDAIA,236,68920,292.0
RELIZANE,3279,943755,287.8
