aubergine,799656,1174134,1816181,1841457
corn,35565,25835,55125,63683
date,12027997,7807007,9184230,18300276
greenpepper,2942991,2887725,3417150,3668857
potatoe,48256658,51880841,46533222,50202499
tomatoe,12651568,9504631,13097452,14778786
wheat,16305710,15341616,35778866,24215671
