aubergine,773214,1193897,1789007,1983921
corn,32115,28947,62987,54316
date,11833921,8033333,7890123,1093748
greenpepper,2876307,2958142,2654321,2974474
potatoe,51489582,51020301,35215678,49202499
tomatoe,12125563,10023376,10654789,12358696
wheat,16220867,15442256,36467890,18003243


